Date/Time,Energy Delivered (Wh)
11/08/2020,"25,459"
11/09/2020,"18,348"
11/10/2020,"26,082"
11/11/2020,"25,786"
11/12/2020,"15,617"
11/13/2020,"12,610"
11/14/2020,"25,486"
11/15/2020,"26,154"
11/16/2020,"13,546"
11/17/2020,"10,788"
11/18/2020,"20,098"
11/19/2020,"24,141"
11/20/2020,"24,479"
11/21/2020,"14,443"
11/22/2020,"14,674"
11/23/2020,"5,350"
11/24/2020,"21,218"
11/25/2020,"15,838"
11/26/2020,"25,313"
11/27/2020,"22,645"
11/28/2020,"21,049"
11/29/2020,"19,159"
11/30/2020,"21,949"
12/01/2020,"22,155"
12/02/2020,"7,255"
12/03/2020,"5,953"
12/04/2020,"26,727"
12/05/2020,"7,200"
12/06/2020,"27,193"
12/07/2020,"26,981"
12/08/2020,"27,161"
12/09/2020,"26,896"
12/10/2020,"14,595"
12/11/2020,"16,529"
12/12/2020,"16,653"
12/13/2020,"25,263"
12/14/2020,"12,554"
12/15/2020,"7,421"
12/16/2020,"14,618"
12/17/2020,"18,906"
12/18/2020,"7,253"
12/19/2020,"4,143"
12/20/2020,"14,747"
12/21/2020,"8,610"
12/22/2020,"11,099"
12/23/2020,"25,654"
12/24/2020,"20,249"
12/25/2020,"5,240"
12/26/2020,"13,967"
12/27/2020,"25,330"
12/28/2020,"4,188"
12/29/2020,"5,717"
12/30/2020,"11,166"
12/31/2020,"7,026"
01/01/2021,"9,139"
01/02/2021,"4,877"
01/03/2021,"8,854"
01/04/2021,"10,386"
01/05/2021,"19,178"
01/06/2021,"11,269"
01/07/2021,"13,141"
01/08/2021,"19,015"
01/09/2021,"23,030"
01/10/2021,"26,770"
01/11/2021,"26,686"
01/12/2021,"23,749"
01/13/2021,"25,653"
01/14/2021,"21,834"
01/15/2021,"22,958"
01/16/2021,"27,514"
01/17/2021,"18,556"
01/18/2021,"25,964"
01/19/2021,"7,527"
01/20/2021,"13,980"
01/21/2021,"25,779"
01/22/2021,"22,845"
01/23/2021,"25,283"
01/24/2021,"17,605"
01/25/2021,"23,924"
01/26/2021,"20,969"
01/27/2021,"3,714"
01/28/2021,"9,025"
01/29/2021,"3,131"
01/30/2021,"12,380"
01/31/2021,"2,658"
02/01/2021,"16,352"
02/02/2021,"14,198"
02/03/2021,"24,749"
02/04/2021,"22,594"
02/05/2021,"23,451"
02/06/2021,"5,408"
02/07/2021,"20,289"
02/08/2021,"5,552"
02/09/2021,"8,845"
02/10/2021,"14,941"
02/11/2021,"24,710"
02/12/2021,"11,385"
02/13/2021,"2,595"
02/14/2021,"23,739"
02/15/2021,"10,941"
02/16/2021,"9,468"
02/17/2021,"17,790"
02/18/2021,"11,422"
02/19/2021,"20,748"
02/20/2021,"23,954"
02/21/2021,"23,575"
02/22/2021,"16,074"
02/23/2021,"7,381"
02/24/2021,"9,500"
02/25/2021,"5,767"
02/26/2021,"18,767"
02/27/2021,"4,408"
02/28/2021,"23,491"
03/01/2021,"21,673"
03/02/2021,"12,842"
03/03/2021,"20,722"
03/04/2021,"21,008"
03/05/2021,"12,573"
03/06/2021,"20,013"
03/07/2021,"19,288"
03/08/2021,"12,858"
03/09/2021,"11,094"
03/10/2021,"8,715"
03/11/2021,"11,263"
03/12/2021,"7,497"
03/13/2021,"17,494"
03/14/2021,"2,787"
03/15/2021,"21,913"
03/16/2021,"3,720"
03/17/2021,"8,860"
03/18/2021,"1,886"
03/19/2021,"5,339"
03/20/2021,"1,327"
03/21/2021,"1,646"
03/22/2021,"2,896"
03/23/2021,"2,237"
03/24/2021,"19,406"
03/25/2021,"13,375"
03/26/2021,"18,571"
03/27/2021,"16,562"
03/28/2021,"16,515"
03/29/2021,"19,241"
03/30/2021,"18,095"
03/31/2021,"19,169"
04/01/2021,"17,943"
04/02/2021,"18,634"
04/03/2021,"18,484"
04/04/2021,"18,126"
04/05/2021,"11,474"
04/06/2021,"4,539"
04/07/2021,"13,576"
04/08/2021,"15,204"
04/09/2021,"9,406"
04/10/2021,"15,688"
04/11/2021,"18,918"
04/12/2021,"18,265"
04/13/2021,"17,584"
04/14/2021,"8,314"
04/15/2021,"16,747"
04/16/2021,"10,090"
04/17/2021,"4,074"
04/18/2021,"10,104"
04/19/2021,"14,843"
04/20/2021,"11,477"
04/21/2021,"14,869"
04/22/2021,"13,787"
04/23/2021,"13,189"
04/24/2021,"11,887"
04/25/2021,"9,550"
04/26/2021,"10,949"
04/27/2021,"10,025"
04/28/2021,"6,733"
04/29/2021,"8,558"
04/30/2021,"7,324"
05/01/2021,"6,344"
05/02/2021,"6,877"
05/03/2021,"6,742"
05/04/2021,"1,551"
05/05/2021,"2,086"
05/06/2021,"2,270"
05/07/2021,"3,258"
05/08/2021,"5,113"
05/09/2021,"5,702"
05/10/2021,"3,773"
05/11/2021,"5,056"
05/12/2021,"5,006"
05/13/2021,"3,213"
05/14/2021,"3,142"
05/15/2021,"3,366"
05/16/2021,"2,664"
05/17/2021,"2,730"
05/18/2021,"2,325"
05/19/2021,"2,118"
05/20/2021,"4,175"
05/21/2021,"3,873"
05/22/2021,"2,309"
05/23/2021,"2,976"
05/24/2021,"4,115"
05/25/2021,"2,187"
05/26/2021,"1,584"
05/27/2021,"1,413"
05/28/2021,"1,632"
05/29/2021,"4,803"
05/30/2021,"3,962"
05/31/2021,"1,444"
06/01/2021,"2,306"
06/02/2021,"1,322"
06/03/2021,"1,213"
06/04/2021,"2,388"
06/05/2021,"1,107"
06/06/2021,993
06/07/2021,"1,911"
06/08/2021,"3,085"
06/09/2021,"1,429"
06/10/2021,"2,510"
06/11/2021,"3,092"
06/12/2021,"2,721"
06/13/2021,838
06/14/2021,"4,718"
06/15/2021,"3,711"
06/16/2021,"1,194"
06/17/2021,"1,010"
06/18/2021,"1,847"
06/19/2021,"3,885"
06/20/2021,"3,529"
06/21/2021,"4,277"
06/22/2021,"4,017"
06/23/2021,"4,232"
06/24/2021,"2,748"
06/25/2021,866
06/26/2021,"1,041"
06/27/2021,837
06/28/2021,"3,245"
06/29/2021,"4,092"
06/30/2021,"3,147"
07/01/2021,"3,932"
07/02/2021,"1,403"
07/03/2021,"1,941"
07/04/2021,953
07/05/2021,"1,242"
07/06/2021,"2,599"
07/07/2021,"2,182"
07/08/2021,"2,652"
07/09/2021,"1,898"
07/10/2021,"3,873"
07/11/2021,"2,844"
07/12/2021,"3,218"
07/13/2021,"2,696"
07/14/2021,"1,631"
07/15/2021,"2,323"
07/16/2021,"1,678"
07/17/2021,"1,784"
07/18/2021,"1,636"
07/19/2021,"5,344"
07/20/2021,"3,595"
07/21/2021,"2,293"
07/22/2021,"2,173"
07/23/2021,"3,491"
07/24/2021,"2,493"
07/25/2021,"3,099"
07/26/2021,"4,630"
07/27/2021,"4,326"
07/28/2021,"3,517"
07/29/2021,"3,129"
07/30/2021,"3,275"
07/31/2021,"4,723"
08/01/2021,"4,814"
08/02/2021,"4,398"
08/03/2021,"4,556"
08/04/2021,"5,234"
08/05/2021,"5,101"
08/06/2021,"5,177"
08/07/2021,"5,772"
08/08/2021,"4,012"
08/09/2021,"6,671"
08/10/2021,"7,431"
08/11/2021,"7,664"
08/12/2021,"8,734"
08/13/2021,"9,198"
08/14/2021,"9,363"
08/15/2021,"10,753"
08/16/2021,"11,469"
08/17/2021,"12,090"
08/18/2021,"11,949"
08/19/2021,"12,292"
08/20/2021,"12,923"
08/21/2021,"12,416"
08/22/2021,"14,100"
08/23/2021,"10,357"
08/24/2021,"2,280"
08/25/2021,"9,177"
08/26/2021,"13,503"
08/27/2021,"11,392"
08/28/2021,"12,201"
08/29/2021,"5,187"
08/30/2021,"16,388"
08/31/2021,"17,015"
09/01/2021,"16,937"
09/02/2021,"9,837"
09/03/2021,"17,243"
09/04/2021,"3,862"
09/05/2021,"19,318"
09/06/2021,"19,669"
09/07/2021,"19,756"
09/08/2021,"18,979"
09/09/2021,"18,887"
09/10/2021,"10,445"
09/11/2021,"19,379"
09/12/2021,"19,396"
09/13/2021,"11,483"
09/14/2021,"10,313"
09/15/2021,"15,709"
09/16/2021,"15,843"
09/17/2021,"20,207"
09/18/2021,"7,446"
09/19/2021,"20,880"
09/20/2021,"20,562"
09/21/2021,"17,058"
09/22/2021,"21,841"
09/23/2021,"20,715"
09/24/2021,"21,299"
09/25/2021,"15,625"
09/26/2021,"16,748"
09/27/2021,"14,505"
09/28/2021,"18,392"
