year-month,cumulative_installed_kw,installations_in_month
2017-07,6394298,14622
2017-08,6496239,15860
2017-09,6595345,14691
2017-10,6705605,15891
2017-11,6859780,18380
2017-12,7145439,17825
2018-01,7294587,14335
2018-02,7415916,16652
2018-03,7898226,17736
2018-04,8034820,15907
2018-05,8408984,18262
2018-06,8548366,16451
2018-07,9071584,17958
2018-08,9432401,19402
2018-09,10260730,19086
2018-10,10562321,22150
2018-11,10964265,24924
2018-12,11246416,22343
2019-01,11520064,18608
2019-02,11961828,22956
2019-03,12146140,23384
2019-04,12493800,20843
2019-05,12935681,23051
2019-06,13200072,19138
2019-07,13403550,22722
2019-08,13848491,23330
2019-09,14046065,24791
2019-10,14533496,27795
2019-11,15119803,30119
2019-12,16040616,29453
2020-01,16241859,23515
2020-02,16474598,28249
2020-03,16848997,31353
2020-04,17188316,26613
2020-05,17416437,27978
2020-06,17921555,30230
2020-07,18248179,33775
2020-08,18486072,28495
2020-09,19017420,31456
2020-10,19331753,33045
2020-11,19961693,38775
2020-12,20741291,37088
2021-01,20981778,27211
2021-02,21414624,34358
2021-03,21767429,37222
2021-04,22056129,32562
2021-05,22412310,30465
2021-06,22843199,30833
2021-07,23179983,29355
2021-08,23657704,28924
2021-09,23938042,29880
2021-10,24324338,28803
2021-11,25236582,31628
2021-12,25780258,32367
2022-01,25920903,17209
2022-02,26138026,24338
2022-03,26519707,25986
2022-04,27245552,20962
2022-05,27456516,23037
2022-06,27713832,26612
2022-07,27945593,26198
2022-08,28213079,29921
2022-09,29102782,27450
2022-10,29472746,25757
2022-11,29791640,32839
2022-12,30379099,31603
2023-01,30554817,20590
2023-02,31127971,26763
2023-03,31392809,27671
2023-04,31598948,21770
2023-05,32131911,27499
2023-06,32405684,26040
2023-07,32797785,26872
2023-08,33123803,29232
2023-09,33369490,25103
2023-10,33633995,26792
2023-11,33947931,27515
2023-12,34234091,16089
