Coefficient of Determination, C Value, Gamma Value
0.7549925140646485,3.0,0.4
0.7545016027024982,3.1,0.4
0.7542151580539616,3.2,0.4
0.7538771675740661,3.3,0.4
0.7534687277288756,3.4,0.4
0.7530666272020886,3.5,0.4
0.7527045911956609,3.6,0.4
0.752426941974986,3.7,0.4
0.7520622853990054,3.8,0.4
0.7517398419654902,3.9,0.4
0.751081069264273,4.0,0.4
0.750400138807167,4.1,0.4
0.7498585808021558,4.2,0.4
0.7492104378179136,4.3,0.4
0.7484553970440015,4.4,0.4
0.7478156983328437,4.5,0.4
0.7472969024574635,4.6,0.4
0.7467366696194441,4.7,0.4
0.7463146419707141,4.8,0.4
0.7459006487377258,4.9,0.4
0.7454442690815497,5.0,0.4
0.6740351804587935,0.1,0.5
0.7022839767894535,0.2,0.5
0.7184349746970908,0.3,0.5
0.7294104808306002,0.4,0.5
0.7362453220411087,0.5,0.5
0.7429949365436412,0.6,0.5
0.7448987607751325,0.7,0.5
0.7466142255805751,0.8,0.5
0.7479201101951813,0.9,0.5
0.7493507105588161,1.0,0.5
0.750673226730197,1.1,0.5
0.750893863322717,1.2,0.5
0.7508680293660785,1.3,0.5
0.7504544058591642,1.4,0.5
0.750353411102931,1.5,0.5
0.7502554058196585,1.6,0.5
0.7500330060797809,1.7,0.5
0.7500436478547534,1.8,0.5
0.749863013757887,1.9,0.5
0.7496364287449819,2.0,0.5
0.7492716420201715,2.1,0.5
0.74843148810084,2.2,0.5
0.7475908880373249,2.3,0.5
0.7466750526136272,2.4,0.5
0.7456566639881821,2.5,0.5
0.744961126582764,2.6,0.5
0.744132885646239,2.7,0.5
0.7432254523631495,2.8,0.5
0.7424828938772305,2.9,0.5
0.7422642421387484,3.0,0.5
0.7421453878769468,3.1,0.5
0.7420230575450513,3.2,0.5
0.7416955821730331,3.3,0.5
0.7413875471451559,3.4,0.5
0.7409473009300486,3.5,0.5
0.7404712525080063,3.6,0.5
0.7399133477168829,3.7,0.5
0.7394600787144829,3.8,0.5
0.7390979052437624,3.9,0.5
0.7388521709563063,4.0,0.5
0.7385037702079716,4.1,0.5
0.7383972535155168,4.2,0.5
0.738204829102998,4.3,0.5
0.7380570093199128,4.4,0.5
0.7377236068797179,4.5,0.5
0.7374112031007105,4.6,0.5
0.7371415825144823,4.7,0.5
0.7369337193764112,4.8,0.5
0.7367117579871734,4.9,0.5
0.7365746451319962,5.0,0.5
0.6677771021558397,0.1,0.6
0.6949132830557885,0.2,0.6
0.7118248505083995,0.3,0.6
0.7225667152862282,0.4,0.6
0.7314650200048851,0.5,0.6
0.7379197900082078,0.6,0.6
0.7398971652442642,0.7,0.6
0.7415429168462341,0.8,0.6
0.7431524975575611,0.9,0.6
0.7456670101457226,1.0,0.6
0.7462684394231791,1.1,0.6
0.7458285611722126,1.2,0.6
0.7454086893823314,1.3,0.6
0.7451518736694585,1.4,0.6
0.7447143353257307,1.5,0.6
0.7439102150904509,1.6,0.6
0.7426958285237658,1.7,0.6
0.7415030728691742,1.8,0.6
0.7404561634812303,1.9,0.6
0.7394686976062999,2.0,0.6
0.7387183281609209,2.1,0.6
0.7382290072893909,2.2,0.6
0.7377803344307226,2.3,0.6
0.7374116382667564,2.4,0.6
0.7371077592750185,2.5,0.6
0.7367938772007353,2.6,0.6
0.7366358213223967,2.7,0.6
0.7361978588542577,2.8,0.6
