Day of the Year,Temperature,Irradiance,Pressure,Rainfall,Observed Demand,Predicted Demand,Delta
354.0,29.005901358634187,29.452264805169534,16.287657690675424,1.4313212087627564e-05,198.0,177.18989296573616,-20.810107034263837,
323.0,26.804386786587482,13.308986709088057,17.270331804346934,0.2708643061464899,176.5,176.80987522665777,0.30987522665776623,
271.0,20.175544674092546,21.505448954773094,10.073989706024678,0.003465547006534362,167.0,167.74115098651887,0.7411509865188748,
265.0,27.179638637710603,18.159447037697127,18.131267701377112,6.381251805606097,175.1,174.62121774791316,-0.47878225208683034,
325.0,32.530465683738115,27.257424288008696,19.282395218254088,0.022651630043309872,196.6,192.09106355219595,-4.508936447804047,
248.0,23.146243219665777,17.971490072582043,10.307214547531109,0.15955476330530158,173.1,174.65619312309497,1.556193123094971,
42.0,29.0144432911852,24.434574840836866,22.894526908050793,2.748850172351655,200.0,196.79255869986955,-3.207441300130455,
322.0,24.968883312010878,28.195389964959272,14.12931893379008,0.34892547127173884,152.1,165.8230118311991,13.723011831199102,
12.0,28.7450604292351,28.017782735190163,24.530765028383424,2.153526159086648,199.9,199.98745440386142,0.08745440386141468,
291.0,21.168813477696684,22.278884808501058,13.587531025241782,3.3997658552889822,164.5,163.34826570467732,-1.151734295322683,
267.0,20.833538195581017,18.09557756508068,11.138730698045032,0.021918486109256043,151.4,175.10688542952244,23.70688542952243,
109.0,24.57361256197566,13.34692597452717,18.30308677704933,0.12380761540828938,167.3,178.17951774668015,10.879517746680136,
359.0,26.326209090284163,20.848517339567408,20.74063722266887,24.563349643334895,149.9,174.78341057385813,24.88341057385813,
93.0,23.375975439729746,14.628024529946924,18.12537610206288,12.865616059333467,174.0,175.55841871509352,1.5584187150935236,
183.0,14.83639314574026,3.9330663647965927,13.250732520485384,21.678848199398587,219.1,220.2571387652785,1.1571387652785177,
76.0,24.14248760874054,15.593497607373065,16.69596121629704,1.1698204961021963,166.0,174.26174871487646,8.261748714876461,
62.0,29.366316425546792,22.899126315556785,19.568093250459555,0.2616123634088556,189.6,188.87802188004878,-0.721978119951217,
335.0,21.25313932103359,16.737380917682028,14.513477221242429,0.15555172197352393,172.9,170.22092094382518,-2.679079056174828,
157.0,17.69511038315262,11.139790482041459,8.27319174822445,4.428642218258731,220.1,210.22364480681838,-9.87635519318161,
153.0,15.843396298269665,9.905346263867669,8.44100866224254,0.05136605906362638,226.5,219.52333415111315,-6.976665848886853,
158.0,18.69431832600056,10.757812395338446,10.26837848167762,0.7671469160678187,215.7,204.9497524339916,-10.750247566008397,
180.0,14.659392152251383,10.722171696694188,8.685183235765207,2.9353914744146374,223.4,220.8590028863314,-2.5409971136685954,
313.0,20.56082719029186,25.109547277377377,10.77363786936979,0.19387492630467207,151.6,161.93299877221966,10.332998772219668,
318.0,26.20578818172036,24.236345526386625,15.759367153727744,0.04408645427719189,170.9,169.1265308151333,-1.7734691848667126,
363.0,28.497026634955027,16.590252411462235,19.417850556280566,0.3533587305147788,165.7,181.9329601027548,16.232960102754816,
241.0,18.925093770716614,10.805454326595417,14.660029153997124,0.23962679989788557,196.9,191.14265119402813,-5.757348805971873,
33.0,29.946577530220317,27.816652682134947,23.027571360825128,0.16012335361238672,203.8,201.07075484865194,-2.729245151348067,
234.0,17.07936962218187,13.869638474118831,8.78003517916291,0.33502720349551374,205.9,201.6009643869037,-4.299035613096294,
78.0,34.951600888573395,21.06784236724713,21.869386918629704,0.009058843075700908,201.9,213.84928933828652,11.949289338286519,
346.0,28.892386885631172,28.11346311352193,22.011670139824947,0.20894093367196792,201.8,184.86081158414376,-16.93918841585625,
