Date,irradiance,pressure,rainfall,temperature
13/03/2023,11.3839448371192,19.0450048659907,7.09454524080643,23.748945835718
14/03/2023,11.0987722416425,20.8787983247598,4.33087394439328,24.2575236034343
15/03/2023,20.7333284936822,21.3375128341054,13.741299263647,28.6115729413629
16/03/2023,21.8980806477085,20.7573046423252,0.0750501524467519,34.9609234203038
17/03/2023,20.7616908830611,14.8558646653889,0.0127786323018031,30.9358440519411
18/03/2023,21.4060071345668,21.5258569675787,0.0104085870835304,30.9817338021043
19/03/2023,21.0678423672471,21.8693869186297,0.00905884307570091,34.9516008885734
20/03/2023,8.27280085412182,21.5211965635473,0.212082559494873,23.6499118215113
21/03/2023,9.63054423247998,15.9040437465368,1.91680145864937,22.0031958097848
22/03/2023,11.3256559031398,18.2167536472287,1.01021352855197,24.4022730965957
