Date,temperature
06/07/2023,16.720152090962216
07/07/2023,17.098743978836303
08/07/2023,18.22137442953314
09/07/2023,17.44688376403405
10/07/2023,18.40419995825458
11/07/2023,18.921417043742885
12/07/2023,19.178157461111194
13/07/2023,20.13542445690547
14/07/2023,21.520133046439952
15/07/2023,22.333478096734762
16/07/2023,17.29789480694995
17/07/2023,18.58080296682218
18/07/2023,20.08252607407818
19/07/2023,15.707873332874863
20/07/2023,17.64413852743181
21/07/2023,17.824621630477363
22/07/2023,16.151317525218218
23/07/2023,16.89209347940795
24/07/2023,16.8732497849418
25/07/2023,18.348860064790752
26/07/2023,19.998772927703293
27/07/2023,19.926571094459913
28/07/2023,22.283193713129542
29/07/2023,22.10819207444404
30/07/2023,23.71512012377706
31/07/2023,21.778054144514947
