dayoftheyear,au nem nsw1 demand energy (GWh),temperature
30,167.62410049432106,18
30,167.10470868100333,19
30,166.99530957246049,20
30,167.34127613416695,21
30,168.17841115256857,22
30,169.53038925846778,23
30,171.40651313466307,24
30,173.79995795234876,25
30,176.68666328818696,26
30,180.02500228803441,27
30,183.75631488098227,28
30,187.80633810903652,29
40,193.3448971106184,0
40,192.54936843066096,1
40,191.63760143925893,2
40,190.60376270100284,3
40,189.44409813638632,4
40,188.15751155202304,5
40,186.74618111351106,6
40,185.2161964937386,7
40,183.57819201134623,8
40,181.84794273338628,9
40,180.04688188003252,10
40,178.20248985483133,11
40,176.34849899880857,12
40,174.52485505709592,13
40,172.77737769638597,14
40,171.15706940054764,15
40,169.7190355133185,16
40,168.5209983392452,17
40,167.62141457711306,18
40,167.07723663992962,19
40,166.94139248110866,20
40,167.26009254743443,21
40,168.07010306665236,22
40,169.39614852493264,23
40,171.24861958390287,24
40,173.621763146275,25
40,176.49251714034222,26
40,179.82012352100242,27
40,183.54661014403737,28
40,187.5981782373106,29
50,193.38336915871454,0
50,192.5940350590732,1
50,191.68900459711202,2
50,190.66234546716692,3
50,189.51015425770512,4
50,188.2311298797035,5
50,186.8271875153048,6
50,185.30409668972084,7
50,183.67211955795278,8
50,181.94661696675644,9
50,180.14858092704665,10
50,178.30504373926686,11
50,176.44930734274905,12
50,174.62093286876245,13
50,172.86543125216133,14
50,171.2336023272323,15
50,169.7804829634233,16
50,168.5638847810994,17
50,167.64252838349574,18
50,167.07381256637814,19
50,166.91129149276244,20
50,167.20196747580394,21
50,167.98353840755533,22
50,169.28176341626482,23
50,171.10812464075414,24
50,173.45796431074638,25
50,176.30926287125308,26
50,179.6221952787774,27
50,183.33955993887213,28
50,187.38812069588005,29
60,193.4215767817797,0
60,192.638840237631,1
60,191.74106833562968,2
60,190.7222427323345,3
60,189.57832146060585,4
60,188.30780631974463,5
60,186.9123532999062,6
60,185.39741055384442,7
60,183.77286083533676,8
60,182.0536366123957,9
60,180.2602668577653,10
60,178.41930575400295,11
60,176.56358643419676,12
60,174.73223880255273,13
60,172.9704108695153,14
60,171.3286391710166,15
60,169.86182663536985,16
60,168.62780605670716,17
60,167.68549372643275,18
60,167.092669505735,19
60,166.90345456903302,20
60,167.16559332338568,21
60,167.91767818262124,22
60,169.18648130055607,23
60,170.98457258199463,24
60,173.30840544488777,25
60,176.13703907437218,26
60,179.43163780746593,27
60,183.13584587122483,28
60,187.1770815816808,29
70,193.45872016185194,0
70,192.6828634715743,1
70,191.79274202984777,2
70,190.78226552803767,3
70,189.6472659772497,4
70,188.38605815538736,5
70,187.00004551727272,6
70,185.4943570258055,7
70,183.87849269794802,8
70,182.16694677967004,9
70,180.37976798844343,10
70,178.54300713217037,11
70,176.6889948565343,12
70,174.85638770926647,13
70,173.08992060777192,14
70,171.4398094805594,15
70,169.96076028776181,16
70,168.7105602020579,17
70,167.7482530840334,18
70,167.1319332834681,19
70,166.91622712459568,20
70,167.14956728921655,21
70,167.87139823242515,22
70,169.10947705037069,23
70,170.87745033463017,24
70,173.17289056543447,25
70,175.97596360753172,26
70,179.24887132186194,27
70,182.93617119003653,28
70,186.96602074459062,29
80,193.49400631345245,0
80,192.72518955483997,1
80,191.84297820229713,2
80,190.84122523293976,3
80,189.71565087983458,4
80,188.4643952678728,5
80,187.088618834714,6
80,185.59313696916013,7
80,183.98706757726387,8
80,182.28446125134312,9
80,180.50487398388995,10
80,178.67383288436267,11
80,176.82313736599485,12
80,174.9909332211557,13
80,173.22149640423308,14
80,171.5646685613389,15
80,170.07489840087902,16
80,168.80986232652484,17
80,167.82866403082252,18
80,167.18964476975265,19
80,166.94787170156312,20
80,167.15240806802979,21
80,167.8435026283231,22
80,169.04986287330752,23
80,170.78619355153825,24
80,173.05118592279408,25
80,175.8261319324656,26
80,179.07431054036826,27
80,182.7412516763976,28
80,186.7559292702573,29
90,193.52665937834846,0
90,192.7649203816465,1
90,191.89074596100548,2
90,190.89794873015788,3
90,189.78215302746167,4
90,188.54133891415626,5
90,187.17643615160162,6
90,185.69195558809986,7
90,184.09663761929102,8
90,182.4040882097259,9
90,180.63336298642724,10
90,178.80945008942837,11
90,176.96359404876137,12
90,175.133397428007,13
90,173.36263587517556,14
90,171.70072696816513,15
90,170.20180489761836,16
90,168.92337208114517,17
90,167.92452496761774,18
90,167.2637833950769,19
90,166.9965888200236,20
90,167.1725736251164,21
90,167.83273801564718,22
90,169.00669893512065,23
90,170.71019330462383,24
90,172.9430226411322,25
90,175.6876156706686,26
90,178.9083592191577,27
90,182.55180631047634,28
90,186.54781652096224,29
100,193.55593092658805,0
100,192.80118679039654,1
100,191.93504450239908,2
100,190.95129366903242,3
100,189.84548016418378,4
100,188.61544070971016,5
100,187.2618894799521,6
100,185.78904517711862,7
100,184.205279227244,8
100,182.5237564442005,9
100,180.76302930460648,10
100,178.94753682353826,11
100,177.10795019263747,12
100,175.2813013392597,13
100,173.51082896677727,14
100,171.84548090112338,15
100,170.33902280824157,16
100,169.0487220953712,17
100,168.03360182658213,18
100,167.3522916279693,19
100,167.06053875658287,20
100,167.20847984339335,21
100,167.8378087516824,22
100,168.97900467942574,23
100,170.64880335716649,24
100,172.84809980336206,25
100,175.560461455937,26
100,178.75140482443572,27
100,182.3685479115579,28
100,186.34269698240635,29
110,193.58111011102338,0
110,192.8331602650479,1
110,191.97491648073463,2
110,191.0001636082564,3
110,189.90438791960062,4
110,188.68530154185308,5
110,187.34342079053434,6
110,185.88268787821337,7
110,184.3111176604734,8
110,182.64144166980444,9
110,180.89171127296456,10
110,179.08581132416555,11
110,177.2538264597941,12
110,175.43219571380175,13
110,173.66358903863477,14
110,171.99644309508483,15
110,170.4841044833501,16
110,169.18354700808888,17
