id,date,dayoftheyear,temperature,irradiance,pressure,rainfall,windspeed,windangle,windPortion,solarPortion,renewablePortion,au-nem-nsw1-demand-energy (GWh),au-nem-nsw1-fuel_tech-solar_rooftop-energy (GWh),au-nem-nsw1-fuel_tech-wind-energy (GWh)
801,-1,0,15,25,20,3.830795359959049,21,180,0.004670855875210403,0.004645892884447919,0.009316748759658322,171.27482015573074,0.7957244682466065,0.8
802,-1,0,15,25,20,3.830795359959049,22,180,0.004670855875210403,0.004645892884447919,0.009316748759658322,171.27482015573074,0.7957244682466065,0.8
803,-1,0,15,25,20,3.830795359959049,23,180,0.004670855875210403,0.004645892884447919,0.009316748759658322,171.27482015573074,0.7957244682466065,0.8
804,-1,0,15,25,20,3.830795359959049,24,180,0.004670855875210403,0.004645892884447919,0.009316748759658322,171.27482015573074,0.7957244682466065,0.8
805,-1,0,15,25,20,3.830795359959049,25,180,0.004670855875210403,0.004645892884447919,0.009316748759658322,171.27482015573074,0.7957244682466065,0.8
806,-1,0,15,25,20,3.830795359959049,26,180,0.004670855875210403,0.004645892884447919,0.009316748759658322,171.27482015573074,0.7957244682466065,0.8
807,-1,0,15,25,20,3.830795359959049,27,180,0.004670855875210403,0.004645892884447919,0.009316748759658322,171.27482015573074,0.7957244682466065,0.8
808,-1,0,15,25,20,3.830795359959049,28,180,0.004670855875210403,0.004645892884447919,0.009316748759658322,171.27482015573074,0.7957244682466065,0.8
809,-1,0,15,25,20,3.830795359959049,29,180,0.004670855875210403,0.004645892884447919,0.009316748759658322,171.27482015573074,0.7957244682466065,0.8
810,-1,0,15,30,20,3.830795359959049,0,180,0.0,0.005567077621735665,0.005567077621735665,168.98316571463656,0.9407424003000027,0.0
811,-1,0,15,30,20,3.830795359959049,1,180,0.0,0.005567077621735665,0.005567077621735665,168.98316571463656,0.9407424003000027,0.0
812,-1,0,15,30,20,3.830795359959049,2,180,0.0,0.005567077621735665,0.005567077621735665,168.98316571463656,0.9407424003000027,0.0
813,-1,0,15,30,20,3.830795359959049,3,180,0.0,0.005567077621735665,0.005567077621735665,168.98316571463656,0.9407424003000027,0.0
814,-1,0,15,30,20,3.830795359959049,4,180,5.917749237156022e-05,0.005567077621735665,0.0056262551141072255,168.98316571463656,0.9407424003000027,0.01
815,-1,0,15,30,20,3.830795359959049,5,180,0.0006509524160871623,0.005567077621735665,0.0062180300378228285,168.98316571463656,0.9407424003000027,0.11
816,-1,0,15,30,20,3.830795359959049,6,180,0.0012427273398027644,0.005567077621735665,0.00680980496153843,168.98316571463656,0.9407424003000027,0.21
817,-1,0,15,30,20,3.830795359959049,7,180,0.0018345022635183666,0.005567077621735665,0.007401579885254032,168.98316571463656,0.9407424003000027,0.31
818,-1,0,15,30,20,3.830795359959049,8,180,0.0024262771872339685,0.005567077621735665,0.007993354808969634,168.98316571463656,0.9407424003000027,0.41
819,-1,0,15,30,20,3.830795359959049,9,180,0.003018052110949571,0.005567077621735665,0.008585129732685236,168.98316571463656,0.9407424003000027,0.51
820,-1,0,15,30,20,3.830795359959049,10,180,0.003609827034665173,0.005567077621735665,0.009176904656400838,168.98316571463656,0.9407424003000027,0.61
821,-1,0,15,30,20,3.830795359959049,11,180,0.004201601958380775,0.005567077621735665,0.00976867958011644,168.98316571463656,0.9407424003000027,0.71
822,-1,0,15,30,20,3.830795359959049,12,180,0.004615844404981697,0.005567077621735665,0.010182922026717361,168.98316571463656,0.9407424003000027,0.78
823,-1,0,15,30,20,3.830795359959049,13,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
824,-1,0,15,30,20,3.830795359959049,14,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
825,-1,0,15,30,20,3.830795359959049,15,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
826,-1,0,15,30,20,3.830795359959049,16,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
827,-1,0,15,30,20,3.830795359959049,17,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
828,-1,0,15,30,20,3.830795359959049,18,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
829,-1,0,15,30,20,3.830795359959049,19,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
830,-1,0,15,30,20,3.830795359959049,20,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
831,-1,0,15,30,20,3.830795359959049,21,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
832,-1,0,15,30,20,3.830795359959049,22,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
833,-1,0,15,30,20,3.830795359959049,23,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
834,-1,0,15,30,20,3.830795359959049,24,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
835,-1,0,15,30,20,3.830795359959049,25,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
836,-1,0,15,30,20,3.830795359959049,26,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
837,-1,0,15,30,20,3.830795359959049,27,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
838,-1,0,15,30,20,3.830795359959049,28,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
839,-1,0,15,30,20,3.830795359959049,29,180,0.004734199389724817,0.005567077621735665,0.010301277011460483,168.98316571463656,0.9407424003000027,0.8
840,-1,0,20,0,20,3.830795359959049,0,180,0.0,0.0004669893656267501,0.0004669893656267501,191.72084430848062,0.08953159546104228,0.0
841,-1,0,20,0,20,3.830795359959049,1,180,0.0,0.0004669893656267501,0.0004669893656267501,191.72084430848062,0.08953159546104228,0.0
842,-1,0,20,0,20,3.830795359959049,2,180,0.0,0.0004669893656267501,0.0004669893656267501,191.72084430848062,0.08953159546104228,0.0
843,-1,0,20,0,20,3.830795359959049,3,180,0.0,0.0004669893656267501,0.0004669893656267501,191.72084430848062,0.08953159546104228,0.0
844,-1,0,20,0,20,3.830795359959049,4,180,5.215916942192215e-05,0.0004669893656267501,0.0005191485350486721,191.72084430848062,0.08953159546104228,0.01
845,-1,0,20,0,20,3.830795359959049,5,180,0.0005737508636411437,0.0004669893656267501,0.0010407402292678936,191.72084430848062,0.08953159546104228,0.11
846,-1,0,20,0,20,3.830795359959049,6,180,0.0010953425578603651,0.0004669893656267501,0.001562331923487115,191.72084430848062,0.08953159546104228,0.21
847,-1,0,20,0,20,3.830795359959049,7,180,0.0016169342520795866,0.0004669893656267501,0.0020839236177063367,191.72084430848062,0.08953159546104228,0.31
848,-1,0,20,0,20,3.830795359959049,8,180,0.002138525946298808,0.0004669893656267501,0.002605515311925558,191.72084430848062,0.08953159546104228,0.41
849,-1,0,20,0,20,3.830795359959049,9,180,0.0026601176405180297,0.0004669893656267501,0.0031271070061447796,191.72084430848062,0.08953159546104228,0.51
850,-1,0,20,0,20,3.830795359959049,10,180,0.003181709334737251,0.0004669893656267501,0.0036486987003640013,191.72084430848062,0.08953159546104228,0.61
851,-1,0,20,0,20,3.830795359959049,11,180,0.0037033010289564726,0.0004669893656267501,0.004170290394583223,191.72084430848062,0.08953159546104228,0.71
852,-1,0,20,0,20,3.830795359959049,12,180,0.004068415214909928,0.0004669893656267501,0.004535404580536678,191.72084430848062,0.08953159546104228,0.78
853,-1,0,20,0,20,3.830795359959049,13,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
854,-1,0,20,0,20,3.830795359959049,14,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
855,-1,0,20,0,20,3.830795359959049,15,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
856,-1,0,20,0,20,3.830795359959049,16,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
857,-1,0,20,0,20,3.830795359959049,17,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
858,-1,0,20,0,20,3.830795359959049,18,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
859,-1,0,20,0,20,3.830795359959049,19,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
860,-1,0,20,0,20,3.830795359959049,20,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
861,-1,0,20,0,20,3.830795359959049,21,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
862,-1,0,20,0,20,3.830795359959049,22,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
863,-1,0,20,0,20,3.830795359959049,23,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
864,-1,0,20,0,20,3.830795359959049,24,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
865,-1,0,20,0,20,3.830795359959049,25,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
866,-1,0,20,0,20,3.830795359959049,26,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
867,-1,0,20,0,20,3.830795359959049,27,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
868,-1,0,20,0,20,3.830795359959049,28,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
869,-1,0,20,0,20,3.830795359959049,29,180,0.0041727335537537725,0.0004669893656267501,0.004639722919380522,191.72084430848062,0.08953159546104228,0.8
870,-1,0,20,5,20,3.830795359959049,0,180,0.0,0.0012526107574576603,0.0012526107574576603,187.24853360711498,0.23454952751444447,0.0
871,-1,0,20,5,20,3.830795359959049,1,180,0.0,0.0012526107574576603,0.0012526107574576603,187.24853360711498,0.23454952751444447,0.0
872,-1,0,20,5,20,3.830795359959049,2,180,0.0,0.0012526107574576603,0.0012526107574576603,187.24853360711498,0.23454952751444447,0.0
873,-1,0,20,5,20,3.830795359959049,3,180,0.0,0.0012526107574576603,0.0012526107574576603,187.24853360711498,0.23454952751444447,0.0
874,-1,0,20,5,20,3.830795359959049,4,180,5.3404957610947216e-05,0.0012526107574576603,0.0013060157150686076,187.24853360711498,0.23454952751444447,0.01
875,-1,0,20,5,20,3.830795359959049,5,180,0.0005874545337204194,0.0012526107574576603,0.0018400652911780796,187.24853360711498,0.23454952751444447,0.11
876,-1,0,20,5,20,3.830795359959049,6,180,0.0011215041098298914,0.0012526107574576603,0.0023741148672875518,187.24853360711498,0.23454952751444447,0.21
877,-1,0,20,5,20,3.830795359959049,7,180,0.0016555536859393636,0.0012526107574576603,0.0029081644433970244,187.24853360711498,0.23454952751444447,0.31
878,-1,0,20,5,20,3.830795359959049,8,180,0.002189603262048836,0.0012526107574576603,0.0034422140195064957,187.24853360711498,0.23454952751444447,0.41
879,-1,0,20,5,20,3.830795359959049,9,180,0.002723652838158308,0.0012526107574576603,0.003976263595615968,187.24853360711498,0.23454952751444447,0.51
880,-1,0,20,5,20,3.830795359959049,10,180,0.0032577024142677797,0.0012526107574576603,0.0045103131717254405,187.24853360711498,0.23454952751444447,0.61
881,-1,0,20,5,20,3.830795359959049,11,180,0.003791751990377252,0.0012526107574576603,0.005044362747834912,187.24853360711498,0.23454952751444447,0.71
882,-1,0,20,5,20,3.830795359959049,12,180,0.004165586693653882,0.0012526107574576603,0.005418197451111543,187.24853360711498,0.23454952751444447,0.78
883,-1,0,20,5,20,3.830795359959049,13,180,0.004272396608875777,0.0012526107574576603,0.005525007366333438,187.24853360711498,0.23454952751444447,0.8
884,-1,0,20,5,20,3.830795359959049,14,180,0.004272396608875777,0.0012526107574576603,0.005525007366333438,187.24853360711498,0.23454952751444447,0.8
