Date,irradiance,temperature,pressure,rainfall
12/03/2020,21.0227928244111,24.8085796058066,18.1086906903621,0.866291701955243
13/03/2020,22.1716769080428,25.7941907858628,15.7363070438425,0.101421167812421
14/03/2020,5.32545955119539,18.2159964178088,14.7039747472232,0.784970180718542
15/03/2020,16.0095912997546,20.3691750105866,12.7495038098214,8.77690198737744
16/03/2020,14.1702195446325,21.6362366038077,16.9686879592761,8.50358751169653
17/03/2020,16.4886098617397,22.7082769852066,16.5845868577767,7.04280374522282
18/03/2020,21.5966236041216,25.9807642912078,16.3124706138144,0.378035442448327
19/03/2020,21.3348470667023,30.6248006352638,16.8484130967934,0.0655281284412477
20/03/2020,20.5712009179911,33.0308001204012,17.1163559344743,0.296690607324227
21/03/2020,18.8454433316499,25.2182255458309,17.8481554821391,0.00820529171173496
